filename,segment_id,segment,victim_presence,reasoning_victim_presence,narrative_frame_citizenship_passive,narrative_frame_suffering_passive,narrative_frame_agency_passive,narrative_frame_reconciliation_passive,narrative_frame_victimblaming_passive,narrative_frame_angerhatred_passive,narrative_frame_passive_dimensions,narrative_frame_citizenship_active,narrative_frame_suffering_active,narrative_frame_agency_active,narrative_frame_reconciliation_active,narrative_frame_victimblaming_active,narrative_frame_angerhatred_active,narrative_frame_active_dimensions,narrative_frame_additional,reasoning_narrative_frame
Actoras Report - Tejidos que lleva el alma.pdf,1,"Todo dolor y sufrimiento (posible de acompañar), es siempre de origen cultural1 pues surge, se reproduce y se mantiene vigente en culturas basadas en relaciones de control, apropiación, desconfianza, sometimiento, competencia y dominación. En todos los casos este dolor esta vinculado a historias de vida cotidiana de seres humanos individuales y de grupos sociales o pueblos.",0,0,,,,,,,,,,,,,,,,
Actoras Report - Tejidos que lleva el alma.pdf,2,"Es en la cultura patriarcal que se privilegian estas relaciones generadoras de profunda desigualdad, el racismo, las guerras, la violencia sexual, el arrasamiento de la tierra y la extinción de los animales; es en este sistema donde nace la apropiación de los cuerpos de mujeres como forma violenta de relación humana con lo masculino, se condena la sexualidad sagrada, se mutila el respeto a lo diferente, se cosifica el sentido de la vida y se desprecia lo afectivo, como femenino.",1,Habla de mujeres afectadas por violencia sexual y opresión patriarcal; no contiene testimonios directos de víctimas.,1,1,0,0,0,0,"[desigualdad,discriminación,marginalización,la (non)reconocimiento,violencia estructural,violencia histórica,vulnerabilidad]",0,0,0,0,0,0,[],Ecofeminismo/patriarcado,"Se enfatiza desigualdad y racismo del patriarcado y violencias (sexual, guerras), expresando violencia estructural e histórica y vulnerabilidad de mujeres. No hay agencia, reconciliación, culpabilización ni emociones estigmatizadas. El marco ecofeminista vincula cosificación de cuerpos y naturaleza bajo el patriarcado y su lógica de dominación."
Actoras Report - Tejidos que lleva el alma.pdf,3,"Esta forma de vivir enferma a las sociedades y a las personas. En ese sentido, la realidad es mucho más compleja de lo que parece y el abordaje holístico de la misma es lo que nos permite buscar, sentir y pensar integralmente para hacer las transformaciones profundas que requiere esa complejidad. Ello obliga a nuevas indagaciones2, a nuevas preguntas que requieren honestidad, subjetividad y equilibrio. No prejuicios, ni predeterminaciones para conocer.",0,0,,,,,,,,,,,,,,,,
Actoras Report - Tejidos que lleva el alma.pdf,4,La investigación no puede dejar de causar impacto en nuestras vidas. Nos propone reflexiones integradoras que no es común encontrar en el análisis que se hace de la realidad guatemalteca; nos presenta lecciones sobre la capacidad de resiliencia y el sentido de vida que permitió a muchas de estas mujeres mayas sobrevivir ante el desgarramiento de la violencia sexual.,1," Se describe explícitamente a mujeres mayas sobrevivientes de violencia sexual, resaltando su resiliencia; no hay testimonios en primera persona.",0.5,1,1,0,0,0,"[discriminación, exclusión (social), vulnerabilidad, violencia estructural, resiliencia, sobreviviente]",0,0,0,0,0,0,[],sanación y reconstrucción del sentido de vida,"El texto destaca el sufrimiento por violencia sexual y, simultáneamente, la resiliencia y condición de sobrevivientes de mujeres mayas; por ello Sufrimiento y Capacidad de acción son fuertes, y Ciudadanía aparece indirectamente por la alusión a discriminación/exclusión contra mujeres indígenas."
Actoras Report - Tejidos que lleva el alma.pdf,5,"Pero por supuesto, nos plantea que no ha sido fácil, sobre todo en contextos donde el sistema se confabula para culpabilizar a quienes han sido víctimas, y se encarga de evadir la discusión, abordaje y erradicación de la violencia sexual, pues ello implica a su vez, reconocer, comprender, abordar y sanar las heridas que todas y todos tenemos en nuestros cuerpos, acerca de nuestra sexualidad, nuestros afectos, en relación con la vida cotidiana y los dolores infringidos por la guerra y por la historia que nos ha tocado vivir.",1, Menciona explícitamente a las víctimas y la violencia sexual; no es testimonio directo de víctimas.,0.5,1,0,0.5,1,0,"[obligaciones del Estado, responsabilidades del Estado, la (non)reconocimiento, discriminación, vulnerabilidad, violencia continua, violencia cotidiana, violencia histórica, violencia estructural, necesidad de apoyo, orientación al futuro]",0,0,0,0,0,0,[],trauma y sanación psicosocial,"Sufrimiento es central por la violencia sexual, heridas corporales y dolores de guerra e historia. Culpabilización es explícita al señalar que el sistema culpa a las víctimas. Ciudadanía aparece por la evasión estatal de obligaciones de abordar y erradicar la violencia. Marco adicional: trauma y sanación psicosocial, por el llamado a sanar colectivamente."
Actoras Report - Tejidos que lleva el alma.pdf,6,"A lo largo de la vida, en reiteradas ocasiones me pregunté ¿Para qué recuperar la memoria histórica? la respuesta siempre llegó con contundencia: para sanar como sociedad. Sanar, como responsabilidad individual y colectiva, para honrar la posibilidad de seguir viviendo y construir relaciones de paz con nosotras/os mismas/os, con el entorno y en la sociedad3.",0,0,,,,,,,,,,,,,,,,
Actoras Report - Tejidos que lleva el alma.pdf,7,"Por ello, esta investigación nos habla de procesos de dolor y sanación que pasan por el cuerpo, que parten de historias individuales para integrarse en construcciones colectivas de poderes femeninos descubiertos; nos propone como primera forma de encontrar reparación, la visibilidad de memorias emocionales guardadas con llave.",0,0,,,,,,,,,,,,,,,,
Actoras Report - Tejidos que lleva el alma.pdf,8,"Este podría ser considerado el tercer informe de memoria histórica realizado en Guatemala. Nunca antes se escribió en nuestro país sobre la violencia sexual cometida contra mujeres durante la guerra con este nivel de profundidad. Nunca antes dos organizaciones con tan diferentes marcos teóricos y metodológicos se unieron para trabajar, coordinar, aprender y aportar a un proceso como el de “Actoras de Cambio”.",1, Menciona explícitamente a mujeres víctimas de violencia sexual durante la guerra; no hay testimonios directos en el segmento.,0.5,1,0.5,0,0,0,"[la (non)reconocimiento,violencia histórica,vulnerabilidad,actor(as) de cambio,defensor de la memoria]",0,0,0,0,0,0,[],Memoria histórica y visibilización del daño,Se alude a la violencia sexual en la guerra (sufrimiento) y a su previa invisibilización/reconocimiento tardío (ciudadanía). La cooperación interorganizacional y el proceso Actoras de Cambio evocan agencia colectiva y defensa de la memoria. Marco adicional: memoria histórica/visibilización del daño para romper el silencio y producir conocimiento legítimo.
Actoras Report - Tejidos que lleva el alma.pdf,9,"El aprendizaje es fundamental: son las emociones las que nos motivan a transformar y crear nuevos lenguajes4. Ello determina la potencialidad que tenemos para el cambio, no los discursos creados para tal efecto. Es tiempo de revelar la historia emocional clandestina5 que hasta ahora hemos mantenido en silencio, y que verdaderamente lo personal sea político. Los cambios profundos para salir del dolor y construir procesos de constitución en actoras con poderes desde sí mismas, así lo expresa.",0,0,,,,,,,,,,,,,,,,
Actoras Report - Tejidos que lleva el alma.pdf,10,"En ese sentido, el resultado de esta investigación no es casual. Fueron los esfuerzos mayoritarios de las mujeres los que abrieron los espacios de derechos humanos cuando aún no se vislumbraban luces para salir del conflicto; fueron ellas las que buscaron a sus familiares desaparecidos como resultado de la guerra. Han sido las mujeres las que exhumaron, enterraron y han hecho rituales para hacer duelos.",1," Describe acciones de mujeres víctimas y familiares de desaparecidos: búsqueda, exhumaciones, entierros y rituales de duelo durante el conflicto.",0.5,1,1,0,0,0,"[sujeto(s) de derechos, vulnerabilidad, violencia histórica, defensor de los derechos humanos, reclamación de los derechos humanos, resistencia (cotidiana), conmemoración, defensor de la memoria, actor(as) de cambio]",0,0,0,0,0,0,[],Duelo y memoria colectiva,"El texto muestra agencia femenina que abrió espacios de derechos humanos y realizó búsquedas, exhumaciones y rituales, evidenciando capacidad de acción y conmemoración. A la vez, remite al sufrimiento causado por desapariciones en la guerra. Se activa un marco adicional de duelo y memoria colectiva para reconstruir vínculos."
Actoras Report - Tejidos que lleva el alma.pdf,11,"Hemos sido nosotras las que mayoritariamente hemos sobrevivido y las que llevamos en nuestra piel la memoria “encarnada” del pasado, razón por la que al menor indicio, hemos estado dispuestas a hacer lo que sea para salir del dolor y construir esperanza y vida, cada día.",2,"Víctimas hablan en primera persona sobre su supervivencia, dolor y memoria encarnada para construir esperanza.",0,0,0,0,0,0,[],0,1,1,0.5,0,0,"[vulnerabilidad, violencia histórica, resiliencia, resistencia (cotidiana), sobreviviente, actor(as) de cambio, defensor de la memoria, orientación al futuro]",Sanación y esperanza," Hablan como sobrevivientes que cargan memoria encarnada y dolor (sufrimiento). Expresan agencia al “hacer lo que sea”, mostrando resiliencia y resistencia cotidiana (capacidad de acción). Proyectan futuro al construir esperanza y vida cada día (orientación al futuro), más que perdón u olvido."
Actoras Report - Tejidos que lleva el alma.pdf,12,"Por ello, las sujetas de esta investigación decidieron empezar a contar lo sucedido, curar el susto y aliviar el corazón. Estos representan tres de los más importantes procesos por los que han transitado y aún están en ello. Ésta pues, es una investigación acerca de cómo es posible transitar del estado temporal de víctima a la constitución de actora, de sujeta. Esta investigación apuesta por un canto a la vida.",1, Menciona explícitamente a quienes transitan del estado de víctima a sujetas/actoras; no es testimonio directo.,0.5,1,1,0.5,0,0,"[sujeto(s) de derechos,la (non)reconocimiento,vulnerabilidad,necesidad de apoyo,resiliencia,sobreviviente,protagonista,actor(as) de cambio,defensor de la memoria,orientación al futuro]",0,0,0,0,0,0,[],Sanación/recuperación psicosocial,"El pasaje moviliza un marco de sanación/recuperación psicosocial: narrar lo sucedido, curar el susto y aliviar el corazón son prácticas de cuidado y reparación que buscan restituir bienestar, transformar el trauma y reorientar la vida hacia el futuro."
