filename,segment_id,segment,victim_presence,reasoning_victim_presence,narrative_frame_citizenship_passive,narrative_frame_suffering_passive,narrative_frame_agency_passive,narrative_frame_reconciliation_passive,narrative_frame_victimblaming_passive,narrative_frame_angerhatred_passive,narrative_frame_passive_dimensions,narrative_frame_citizenship_active,narrative_frame_suffering_active,narrative_frame_agency_active,narrative_frame_reconciliation_active,narrative_frame_victimblaming_active,narrative_frame_angerhatred_active,narrative_frame_active_dimensions,narrative_frame_additional,reasoning_narrative_frame
REMHI Report - Nunca Mas.pdf,1,Palabras Preliminares Queridos hermanos y hermanas:,0,0,,,,,,,,,,,,,,,,
REMHI Report - Nunca Mas.pdf,2,"En octubre de 1994 solicité a la Oficina de Derechos Humanos del Arzobispado la presentación del proyecto ""Recuperación de la Memoria Histórica"" (REMHI) a los Obispos de la Conferencia Episcopal de Guatemala. El apoyo de mis hermanos y sus Diócesis le confirió el carácter de interdiocesano. Creímos que era un aporte para la paz y la reconciliación que suponía reconocer el sufrimiento del pueblo, recoger la voz de quienes hasta ahora no habían sido escuchados y dar testimonio de su martirio a fin de dignificar la memoria de los muertos y devolver la autoestima a sus deudos.",1,"Habla de sufrimiento, martirio, muertos y deudos, y de recoger la voz de no escuchados; víctimas no hablan directamente.",0.5,1,0.5,1,0,0,"[la (non)reconocimiento, exclusión (social), martir(es), necesidad de apoyo, conmemoración, defensor de la memoria, movimiento(s) de solidaridad, reconciliación]",0,0,0,0,0,0,[],Memoria y dignificación,"Se destaca recuperar la voz silenciada y dar testimonio del martirio para honrar a los muertos y restaurar la autoestima de sus deudos. Es una forma de reparación simbólica que, junto con la reconciliación, reconoce el sufrimiento y promueve inclusión mediante conmemoración y defensa de la memoria."
REMHI Report - Nunca Mas.pdf,3,"Esta investigación, cuyos resultados están siendo entregados a ustedes el día de hoy, Guatemala: Nunca más, fue ejecutada por los equipos pastorales de once Diócesis e innumerables personas que, en medio de espacios frágiles e inciertos en ese momento, hicieron suyo el empeño de buscar la reconstrucción del tejido social iniciado con el conocimiento de la Verdad. Este trabajo se inició cuando aún no estaba establecida la Comisión de Esclarecimiento Histórico y pensamos que sería un inicio de apoyo a las acciones de dicha Comisión. La búsqueda de información fue orientada a las comunidades rurales en donde, por lo inaccesible de las vías de comunicación y la diversidad de lenguas, harían más dificultoso su trabajo. No pretendemos de ninguna manera que el tema esté agotado ni mucho menos. La violación a la integridad de las personas en las áreas urbanas tiene que ser motivo de un análisis particular por las características de dichas personas o grupos sociales contra quienes fueron cometidas. Por otra parte, con un criterio muy riguroso y para evitar sesgos en la recolección de los testimonios, se dejó que la población manifestara libre y espontáneamente sus recuerdos y vivencias.",1,Habla de la recolección de testimonios y de violaciones a personas; no hay voces directas de víctimas en el texto.,0.5,0.5,1,0.5,0,0,"[exclusión (social),marginalización,titular(es) de derechos,vulnerabilidad,violencia estructural,defensor de la memoria,movilización (comunitaria),actor(as) de cambio,protagonista,orientación al futuro]",0,0,0,0,0,0,[],"

Memoria y verdad","Resalta la búsqueda de verdad y la producción de memoria colectiva mediante testimonios libres. Esta narrativa dignifica a las víctimas, visibiliza patrones de violencia y contribuye a reconstruir el tejido social y a apoyar mecanismos institucionales como la CEH.

Razonamiento: Predomina la capacidad de acción porque se enfatiza el esfuerzo organizado de equipos pastorales y comunidades para documentar la verdad y reconstruir el tejido social, con protagonismo y defensa de la memoria. Ciudadanía aparece por la mención de barreras de acceso y diversidad lingüística que reflejan exclusión/marginalización y la referencia a violaciones a la integridad como derechos vulnerados. Sufrimiento está indirectamente presente al aludir a contextos frágiles e inciertos y a violaciones a la integridad, sin detallar emociones ni victimización específica. Reconciliación se sugiere débilmente mediante la orientación al futuro implícita en “reconstrucción del tejido social” desde la verdad. No hay culpabilización ni sentimientos considerados inaceptables."
REMHI Report - Nunca Mas.pdf,4,"El fundamento del presente informe es el de preservar la memoria histórica sobre la violencia política, las gravísimas violaciones a los derechos humanos de las personas y comunidades indígenas durante estos treinta y seis años de lucha fratricida que produjo una polarización social sin límites. Ahora, finalizado el conflicto armado que nos agobió por tanto tiempo, en el que la pérdida de valores morales y éticos nos llevó a fracasar como sociedad es tiempo de encontrarnos con la Verdad para reconstruir moralmente a nuestra sociedad lacerada y desgarrada por la guerra injusta que nos heredó un costo social muy alto en vidas humanas; muchas de ellas fueron víctimas de la guerra sucia que aterrorizó a la población y cuyas secuelas aún persisten. Los diferentes capítulos del presente informe dan cuenta de ello.",1,"El segmento menciona explícitamente a las víctimas de la guerra sucia y violaciones de derechos humanos, sin testimonios directos.",0.5,1,1,0.5,0,0,"[titular(es) de derechos, violencia histórica, violencia continua, conmemoración, defensor de la memoria, orientación al futuro]",0,0,0,0,0,0,[],Memoria histórica y verdad,"Sufrimiento: graves violaciones de derechos, guerra sucia, terror y secuelas persistentes. Capacidad de acción: compromiso explícito de preservar la memoria y buscar la Verdad como conmemoración y defensa de la memoria. Reconciliación: llamado a reconstruir moralmente la sociedad tras el conflicto, con clara orientación al futuro. Sin culpabilización ni emociones estigmatizadas."
REMHI Report - Nunca Mas.pdf,5,"Uno se pregunta ¿cómo fue posible que se llegara a tal grado de degradación? ¿Cómo fue posible que se llegara a tal menosprecio de la persona humana, criatura nacida de las manos de un creador amoroso? ¿Cómo fue posible que la naturaleza, producto de la evolución y perfeccionamiento de la especies, fuera tan despiadadamente destruida?",0,0,,,,,,,,,,,,,,,,
REMHI Report - Nunca Mas.pdf,6,"¿Qué fue lo que originó este conflicto? Si reflexionamos sobre las condiciones en que vivía un altísimo porcentaje de la población, marginada en cuanto a carencia de sus más elementales necesidades (acceso al alimento, a la",1, Describe marginación y carencias básicas de gran parte de la población afectada; no hay testimonios directos de víctimas.,1,1,0,0,0,0,"[exclusión (social), marginalización, desigualdad, vulnerabilidad, violencia estructural]",0,0,0,0,0,0,[],Causas estructurales socioeconómicas,"El segmento atribuye el conflicto a la marginación y privación de necesidades básicas, subrayando exclusión, desigualdad y vulnerabilidad, es decir, marcos de ciudadanía y sufrimiento. No hay agencia, reconciliación, culpabilización ni emociones “inaceptables”. Se privilegia un marco estructural que centra pobreza y derechos socioeconómicos negados."
REMHI Report - Nunca Mas.pdf,7,"IX salud, a la educación, a la vivienda, al salario digno, al derecho de organización, al respeto de su pensamiento político, etc.,) que no le permitía desarrollarse en condiciones a que tenían derecho como seres humanos; si reflexionamos en la anarquía que vivía en ese momento nuestro país y que persistía aún el ramalazo, las secuelas de una reciente intervención armada en donde se comenzó a evidenciar la capacidad destructiva que se esconde en Jos seres humanos; si pensamos que se consideró por algunos grupos que los espacios políticos estaban cerrados, podremos entender que la guerra iniciada por jóvenes civiles y jóvenes oficiales del Ejército era algo que ya no se podía detener. El deseo de cambio por una sociedad más justa y la imposibilidad de llevarlo a cabo a través de los estamentos establecidos, provocó la incorporación a la insurgencia no sólo de quienes pretendían un cambio al socialismo sino de muchos - que no siendo marxistas y no teniendo una posición política comprometida - se convencieron y se vieron compelidos a apoyar un movimiento que parecía ser la única vía posible: la lucha armada. Por otra parte el Ejército, condicionado por la política de confrontamiento de la guerra fría - política que se extendió a todos los ejércitos de la América Latina - emprendió la lucha contra la insurgencia con la consigna de que era imperativo mantener y defender el statu quo ante la amenaza de que se instalara un nuevo gobierno socialista en tierra firme (recuérdese que recientemente había sido derrocado el gobierno de Batista y se iniciaba un confrontamiento cada vez más progresivo entre el nuevo gobierno de Cuba y el de los Estados Unidos) fue así como el Ejército fue sacado de los espacios que le determinan claramente la leyes de la República, como es el de ser garante de la integridad territorial y de la soberanía nacional, por una parte por la presión internacional y, por otra, por los partidos políticos que gobernaron durante ese tiempo y que lo convirtieron en una policía política y un instrumento de persecución, acoso y muerte de sus enemigos. Estos señalamientos no son contra el Ejército, como institución establecida como un organismo más del Estado por nuestra carta magna, sino contra las cúpulas militares que se prestaron al juego político de los partidos de tumo y comprometieron a toda la institución armada en acciones reñidas con las más elementales normas de convivencia humana. Esta guerra en que se torturó, se asesinó y se hizo desaparecer comunidades enteras que se vieron aterradas e indefensas en ese fuego cruzado, en que se destruyó la naturaleza (que en la cosmovisión de los indígenas es sagrada, la madre tierra), también barrió como un vendaval enloquecido lo más granado de la intelectualidad de Guatemala. El país se fue quedando huérfano de repente de ciudadanos valiosos cuya ausencia se deja sentir hasta nuestros días.",1," El segmento describe tortura, asesinatos y desapariciones de comunidades aterradas e indefensas; referencia explícita a víctimas.",1,1,1,0,0,0,"[titular(es) de derechos, obligaciones del Estado, inclusión en el estado democrático, exclusión (social), desigualdad, vulnerabilidad, víctima(s) pasiva(s), violencia histórica, violencia estructural, resistencia, lucha, movilización (comunitaria), actor(as) de cambio]",0,0,0,0,0,0,[],teoría de los dos demonios/fuego cruzado,"Se destaca ciudadanía por el énfasis en derechos negados y cierre de espacios políticos; sufrimiento por torturas, asesinatos y desapariciones que dejaron comunidades indefensas; y capacidad de acción por la incorporación a la insurgencia como única vía y la lucha armada para un cambio social ante la imposibilidad institucional."
REMHI Report - Nunca Mas.pdf,8,"¿Quién fue el vencedor de esta guerra? Todos perdimos. No creo que alguien tenga el cinismo de subirse al carro de la victoria sobre Jos despojos de miles de guatemaltecos: padres de familia, madres, hermanos, niños de la más tierna edad, inocentes del infierno al que fueron sometidos. El tejido social de nuestra patria fue destruido y de eso queda constancia en los miles de testimonios de este informe. Quienes directa o indirectamente fueron los responsables del sufrimiento deben leer e interpretar estos resultados como un rechazo rotundo y categórico de la población a la cultura de la violencia. Es una exigencia ética y moral en que nunca más en Guatemala las acciones del pasado reciente sean recurrentes en el futuro. Quienes fueron los actores directos del",1,"El segmento describe explícitamente a miles de guatemaltecos víctimas y menciona testimonios, sin incluir voces directas de víctimas.",0,1,0.5,1,0,0,"[víctima(s) inocente(s),violencia histórica,violencia estructural,resistencia,movilización (comunitaria),orientación al futuro]",0,0,0,0,0,0,[],Garantías de no repetición/Nunca Más,"El texto subraya el sufrimiento masivo de víctimas inocentes y la destrucción del tejido social. Llama a un rechazo colectivo de la cultura de la violencia y a un nunca más, lo que marca orientación al futuro y cierta agencia comunitaria. No hay culpabilización de víctimas ni emociones consideradas inaceptables."
REMHI Report - Nunca Mas.pdf,9,"X enfrentamiento armado y la guerra sucia, deben reconocer sin reservas sus errores y excesos y pedir perdón por el crimen contra víctimas inocentes ""no hay nadie tan perverso y tan culpable, que no debe esperar con confianza su perdón siempre que su comportamiento sea sincero"" nos enseña la Iglesia. Pero no sólo ellos sino a partir de ahora la sociedad, a través de- un proceso de reflexión que llegue a lo más profundo de la conciencia colectiva, moralmente experimente una época de cambio después de los horrores del pasado que aún empiezan a develarse. Sin embargo para que este cambio sea cierto, es necesario el reconocimiento de los distintos sectores de la sociedad de nuestras culpas por acción u omisión y adoptar un cambio radical de actitud frente a nuestro prójimo. La Iglesia jerárquica ha hecho lo propio y oportunamente hemos pedido perdón por no haber sabido defender debidamente a los golpeados por la injusticia (Urge la Verdadera Paz: 18).",1,"Menciona víctimas inocentes y personas golpeadas por la injusticia, sin testimonios directos de ellas.",0.5,1,0,1,0,0,"[la (non)reconocimiento, víctima(s) inocente(s), violencia histórica, perdón, orientación al futuro]",0,0,0,0,0,0,[],"Marco religioso-moral del perdón, responsabilidad colectiva, justicia restaurativa, memoria y verdad","Se enfatiza el perdón y el cambio moral futuro. Las víctimas son presentadas como inocentes y golpeadas por la injusticia, ligada a horrores del pasado. Hay llamado a reconocimiento de culpas por acción u omisión, implicando reconocimiento hacia las víctimas y deberes morales de instituciones y sociedad."
REMHI Report - Nunca Mas.pdf,10,"Aunque con profunda congoja hemos conocido estos testimonios del hombre sufriente, recuerdo e imagen de Cristo de nuevo crucificado, no podemos menos de esperar que, abjurando de ese obscuro pasado de horror y con la firme determinación de reconstruir nuestro país, renazca de nuevo un clima de esperanza en donde la fraternidad, la solidaridad, la comprensión, el respeto a nuestros semejantes, la convivencia, el compartir los bienes, una conciencia clara y un propósito bien definido de que siendo todos hijos de Dios estamos obligados a construir una sociedad justa y solidaria. Con los pies en la tierra y los ojos en el cielo. Amén.",1,"Menciona testimonios del hombre sufriente, aludiendo a víctimas, pero no hablan directamente en el segmento.",0.5,1,0.5,1,0,0,"[inclusión en el estado democrático, democratización, mártir(es), violencia histórica, vulnerabilidad, movilización (comunitaria), movimiento(s) de solidaridad, resiliencia, orientación al futuro, reconciliación]",0,0,0,0,0,0,[],Religioso-teológico,"Sufrimiento es central por testimonios del hombre sufriente y la analogía con Cristo, vinculando martirio y pasado de horror. Reconciliación aparece por el llamado a abjurar el pasado y a un futuro de esperanza. Capacidad de acción se expresa en la determinación colectiva de reconstruir el país mediante solidaridad."
